,Locality,Total Count,Total Expenditures,month,year
1901,067 - Franklin County,293,232870.11,8,2024
2895,067 - Franklin County,282,172227,12,2024
3763,067 - Franklin County,290,197300.61,2,2024
4757,067 - Franklin County,275,170632.86,1,2024
5879,067 - Franklin County,289,198297.15,7,2024
6747,067 - Franklin County,289,196712.36,6,2024
7743,067 - Franklin County,283,190599.1,3,2024
8734,067 - Franklin County,290,196606.71,5,2024
9854,067 - Franklin County,272,179784,11,2024
10846,067 - Franklin County,255,147601.14,10,2024
11842,067 - Franklin County,295,181803.31,9,2024
903,067 - Franklin County,283,179333,4,2025
3890,067 - Franklin County,308,206892,2,2025
4884,067 - Franklin County,292,188568,1,2025
6874,067 - Franklin County,290,183113,6,2025
7869,067 - Franklin County,301,175298,3,2025
8860,067 - Franklin County,291,190426,5,2025
1029,069 - Frederick,127,48667,8,2017
2028,069 - Frederick,116,47181,12,2017
5010,069 - Frederick,147,52996,7,2017
8987,069 - Frederick,128,49307,11,2017
9980,069 - Frederick,120,43129,10,2017
10972,069 - Frederick,134,52775,9,2017
34,069 - Frederick,105,42106,4,2018
1154,069 - Frederick,115,68979,8,2018
2152,069 - Frederick,94,52257,12,2018
3022,069 - Frederick,122,51392,2,2018
4017,069 - Frederick,115,44205,1,2018
5135,069 - Frederick,113,72504,7,2018
6005,069 - Frederick,116,50720,6,2018
7001,069 - Frederick,113,38912,3,2018
7997,069 - Frederick,110,43422,5,2018
9110,069 - Frederick,92,53919,11,2018
10104,069 - Frederick,94,48977,10,2018
11097,069 - Frederick,115,59120,9,2018
158,069 - Frederick,103,57807,4,2019
1279,069 - Frederick,135,75697.8,8,2019
2276,069 - Frederick,126,68902,12,2019
3146,069 - Frederick,87,55235,2,2019
4141,069 - Frederick,93,47902,1,2019
5260,069 - Frederick,127,73164.4,7,2019
6129,069 - Frederick,119,71969,6,2019
7125,069 - Frederick,98,50608,3,2019
8121,069 - Frederick,115,63316,5,2019
9234,069 - Frederick,130,77477.2,11,2019
10228,069 - Frederick,135,74721.2,10,2019
11222,069 - Frederick,142,70769.4,9,2019
283,069 - Frederick,124,65449,4,2020
1402,069 - Frederick,111,71893.8,8,2020
2397,069 - Frederick,84,47464,12,2020
3270,069 - Frederick,127,72488.6,2,2020
4265,069 - Frederick,129,69217.2,1,2020
5383,069 - Frederick,116,82379.8,7,2020
6253,069 - Frederick,124,72034,6,2020
7250,069 - Frederick,125,61205,3,2020
8245,069 - Frederick,99,63853.4,5,2020
9355,069 - Frederick,106,64482,11,2020
10349,069 - Frederick,111,44842,10,2020
11344,069 - Frederick,123,76386,9,2020
405,069 - Frederick,80,48650.2,4,2021
1526,069 - Frederick,93,66770.6,8,2021
2520,069 - Frederick,103,74176.4,12,2021
3392,069 - Frederick,90,47239.4,2,2021
4387,069 - Frederick,85,49894.4,1,2021
5504,069 - Frederick,93,65240,7,2021
6375,069 - Frederick,78,45437.4,6,2021
7372,069 - Frederick,85,40112,3,2021
8362,069 - Frederick,83,48967.2,5,2021
9479,069 - Frederick,94,60032.6,11,2021
10472,069 - Frederick,89,61229.6,10,2021
11468,069 - Frederick,108,68212,9,2021
528,069 - Frederick,132,96980.2,4,2022
1651,069 - Frederick,153,103296.4,8,2022
2645,069 - Frederick,132,115729,12,2022
3514,069 - Frederick,121,78434.8,2,2022
4510,069 - Frederick,111,83978,1,2022
5628,069 - Frederick,155,105379.6,7,2022
6498,069 - Frederick,143,96016,6,2022
7495,069 - Frederick,127,85847,3,2022
8485,069 - Frederick,153,120456,5,2022
9604,069 - Frederick,129,105292,11,2022
10597,069 - Frederick,128,85948.4,10,2022
11593,069 - Frederick,151,110261.4,9,2022
653,069 - Frederick,157,138447,4,2023
1776,069 - Frederick,174,140775,8,2023
2769,069 - Frederick,176,159535,12,2023
3639,069 - Frederick,137,113603,2,2023
4635,069 - Frederick,131,115343,1,2023
5753,069 - Frederick,164,155349,7,2023
6623,069 - Frederick,159,139320,6,2023
7620,069 - Frederick,145,110946,3,2023
8610,069 - Frederick,158,124440,5,2023
9728,069 - Frederick,176,155597,11,2023
10722,069 - Frederick,179,150447,10,2023
11717,069 - Frederick,199,159084,9,2023
778,069 - Frederick,193,156782,4,2024
1902,069 - Frederick,233,219593,8,2024
2896,069 - Frederick,204,168523,12,2024
3764,069 - Frederick,195,178837,2,2024
4758,069 - Frederick,180,157855,1,2024
5880,069 - Frederick,225,197857,7,2024
6748,069 - Frederick,200,186164,6,2024
7744,069 - Frederick,188,156882,3,2024
8735,069 - Frederick,204,178658,5,2024
9855,069 - Frederick,191,172602,11,2024
10847,069 - Frederick,195,162954,10,2024
11843,069 - Frederick,229,184355,9,2024
904,069 - Frederick,207,170376,4,2025
3891,069 - Frederick,201,172298,2,2025
4885,069 - Frederick,196,171677,1,2025
6875,069 - Frederick,215,181443,6,2025
7870,069 - Frederick,205,172508,3,2025
8861,069 - Frederick,204,185449,5,2025
1030,071 - Giles,23,7354,8,2017
2029,071 - Giles,22,6905,12,2017
5011,071 - Giles,23,8623,7,2017
8988,071 - Giles,23,7742,11,2017
9981,071 - Giles,21,6367,10,2017
10973,071 - Giles,23,9905,9,2017
35,071 - Giles,22,8056,4,2018
1155,071 - Giles,36,15821,8,2018
2153,071 - Giles,32,12184,12,2018
3023,071 - Giles,20,8462,2,2018
4018,071 - Giles,23,7162,1,2018
5136,071 - Giles,30,12835,7,2018
6006,071 - Giles,30,10954,6,2018
7002,071 - Giles,22,7613,3,2018
7998,071 - Giles,28,10328,5,2018
9111,071 - Giles,33,12445,11,2018
10105,071 - Giles,33,12810,10,2018
11098,071 - Giles,37,17981,9,2018
159,071 - Giles,41,14443,4,2019
1280,071 - Giles,44,18810,8,2019
2277,071 - Giles,32,11098.6,12,2019
3147,071 - Giles,32,12146,2,2019
4142,071 - Giles,32,11161,1,2019
5261,071 - Giles,42,16710,7,2019
6130,071 - Giles,39,16021,6,2019
7126,071 - Giles,30,10170,3,2019
8122,071 - Giles,42,16388,5,2019
9235,071 - Giles,31,12939.8,11,2019
10229,071 - Giles,34,11078.2,10,2019
11223,071 - Giles,43,14991.4,9,2019
284,071 - Giles,44,15378,4,2020
1403,071 - Giles,43,19291.8,8,2020
2398,071 - Giles,43,17228,12,2020
3271,071 - Giles,31,14970.6,2,2020
4266,071 - Giles,32,12271.6,1,2020
5384,071 - Giles,41,23969.4,7,2020
6254,071 - Giles,38,18117,6,2020
7251,071 - Giles,31,10815.2,3,2020
8246,071 - Giles,37,16483,5,2020
9356,071 - Giles,38,15014,11,2020
10350,071 - Giles,46,15171.6,10,2020
11345,071 - Giles,46,18408.8,9,2020
406,071 - Giles,55,23096.8,4,2021
1527,071 - Giles,82,41172,8,2021
2521,071 - Giles,95,43032,12,2021
3393,071 - Giles,49,19477.4,2,2021
4388,071 - Giles,52,24052.6,1,2021
5505,071 - Giles,79,45009.6,7,2021
6376,071 - Giles,70,30537.6,6,2021
7373,071 - Giles,49,16002.6,3,2021
8363,071 - Giles,60,24618.4,5,2021
9480,071 - Giles,93,38539,11,2021
10473,071 - Giles,98,44304.8,10,2021
11469,071 - Giles,93,43171.2,9,2021
529,071 - Giles,108,46200.4,4,2022
1652,071 - Giles,108,54049,8,2022
2646,071 - Giles,79,53771,12,2022
3515,071 - Giles,104,43091,2,2022
4511,071 - Giles,101,50468.8,1,2022
5629,071 - Giles,109,58967.8,7,2022
6499,071 - Giles,115,49420.2,6,2022
7496,071 - Giles,108,43179.6,3,2022
8486,071 - Giles,110,44358.4,5,2022
9605,071 - Giles,85,53376,11,2022
10598,071 - Giles,104,41840.8,10,2022
11594,071 - Giles,101,50225.6,9,2022
654,071 - Giles,119,70403,4,2023
1777,071 - Giles,124,82872,8,2023
2770,071 - Giles,91,60717.38,12,2023
3640,071 - Giles,104,78451,2,2023
4636,071 - Giles,95,71800,1,2023
5754,071 - Giles,123,88483,7,2023
6624,071 - Giles,116,72927,6,2023
7621,071 - Giles,109,58087,3,2023
8611,071 - Giles,112,60123,5,2023
9729,071 - Giles,94,59717.38,11,2023
10723,071 - Giles,99,57274.59,10,2023
11718,071 - Giles,111,74701.26,9,2023
779,071 - Giles,97,65540.71,4,2024
1903,071 - Giles,121,95934.98,8,2024
2897,071 - Giles,93,56422,12,2024
3765,071 - Giles,99,69971.17,2,2024
4759,071 - Giles,94,63129.59,1,2024
5881,071 - Giles,116,74719,7,2024
6749,071 - Giles,107,74962.8,6,2024
7745,071 - Giles,101,58769.47,3,2024
8736,071 - Giles,102,69244.49,5,2024
9856,071 - Giles,96,61761,11,2024
10848,071 - Giles,98,56252.6,10,2024
11844,071 - Giles,113,77809.79,9,2024
905,071 - Giles,106,66597,4,2025
3892,071 - Giles,101,72863,2,2025
4886,071 - Giles,95,68367,1,2025
6876,071 - Giles,106,69416,6,2025
7871,071 - Giles,105,63495,3,2025
8862,071 - Giles,109,72188,5,2025
1031,073 - Gloucester,89,37694,8,2017
2030,073 - Gloucester,64,26442,12,2017
5012,073 - Gloucester,102,47168,7,2017
8989,073 - Gloucester,66,26000,11,2017
9982,073 - Gloucester,79,29009,10,2017
10974,073 - Gloucester,86,39069,9,2017
36,073 - Gloucester,67,26583,4,2018
1156,073 - Gloucester,68,31568,8,2018
2154,073 - Gloucester,51,21862,12,2018
3024,073 - Gloucester,73,28258,2,2018
4019,073 - Gloucester,73,29005,1,2018
5137,073 - Gloucester,74,36370,7,2018
6007,073 - Gloucester,68,30520,6,2018
7003,073 - Gloucester,63,22300,3,2018
7999,073 - Gloucester,67,27142,5,2018
9112,073 - Gloucester,48,24271,11,2018
10106,073 - Gloucester,56,21450,10,2018
11099,073 - Gloucester,63,30406,9,2018
160,073 - Gloucester,52,22606,4,2019
1281,073 - Gloucester,82,36969.8,8,2019
2278,073 - Gloucester,80,26002.4,12,2019
3148,073 - Gloucester,55,25133,2,2019
4143,073 - Gloucester,51,19889,1,2019
5262,073 - Gloucester,70,30087.2,7,2019
6131,073 - Gloucester,65,29547,6,2019
7127,073 - Gloucester,59,23445,3,2019
8123,073 - Gloucester,62,28436,5,2019
9236,073 - Gloucester,76,29978.6,11,2019
10230,073 - Gloucester,79,25479.4,10,2019
11224,073 - Gloucester,87,42762.2,9,2019
285,073 - Gloucester,75,27090.4,4,2020
1404,073 - Gloucester,66,32922.6,8,2020
2399,073 - Gloucester,57,25709.6,12,2020
3272,073 - Gloucester,78,30827.8,2,2020
4267,073 - Gloucester,74,24360.6,1,2020
5385,073 - Gloucester,68,45947,7,2020
6255,073 - Gloucester,67,38063.8,6,2020
7252,073 - Gloucester,79,27455.4,3,2020
8247,073 - Gloucester,65,32933.2,5,2020
9357,073 - Gloucester,57,29934,11,2020
10351,073 - Gloucester,66,27629.8,10,2020
11346,073 - Gloucester,58,25755,9,2020
407,073 - Gloucester,55,26582.8,4,2021
1528,073 - Gloucester,79,46682.8,8,2021
2522,073 - Gloucester,80,42351.4,12,2021
3394,073 - Gloucester,51,21995,2,2021
4389,073 - Gloucester,53,24410,1,2021
5506,073 - Gloucester,74,48994.6,7,2021
6377,073 - Gloucester,65,30840,6,2021
7374,073 - Gloucester,51,20889.6,3,2021
8364,073 - Gloucester,62,32106,5,2021
9481,073 - Gloucester,77,40457,11,2021
10474,073 - Gloucester,81,41443,10,2021
11470,073 - Gloucester,86,50503,9,2021
530,073 - Gloucester,93,54007,4,2022
1653,073 - Gloucester,89,51776.4,8,2022
2647,073 - Gloucester,90,88728,12,2022
3516,073 - Gloucester,79,41384,2,2022
4512,073 - Gloucester,81,51387,1,2022
5630,073 - Gloucester,92,49067.6,7,2022
6500,073 - Gloucester,91,51444,6,2022
7497,073 - Gloucester,82,43792,3,2022
8487,073 - Gloucester,90,50598,5,2022
9606,073 - Gloucester,94,63921,11,2022
10599,073 - Gloucester,92,52414,10,2022
11595,073 - Gloucester,90,56646,9,2022
655,073 - Gloucester,100,86420,4,2023
1778,073 - Gloucester,115,89778,8,2023
2771,073 - Gloucester,79,62107,12,2023
3641,073 - Gloucester,98,74329,2,2023
4637,073 - Gloucester,88,79733,1,2023
5755,073 - Gloucester,116,104217,7,2023
6625,073 - Gloucester,101,82226,6,2023
7622,073 - Gloucester,99,69695,3,2023
8612,073 - Gloucester,104,72421,5,2023
9730,073 - Gloucester,87,66225,11,2023
10724,073 - Gloucester,81,61372,10,2023
11719,073 - Gloucester,107,83831,9,2023
780,073 - Gloucester,87,64424.15,4,2024
1904,073 - Gloucester,116,94181.65,8,2024
2898,073 - Gloucester,95,65988,12,2024
3766,073 - Gloucester,82,67037.99,2,2024
4760,073 - Gloucester,77,59097.73,1,2024
5882,073 - Gloucester,100,74128.5,7,2024
6750,073 - Gloucester,96,77705.15,6,2024
7746,073 - Gloucester,79,55197.7,3,2024
8737,073 - Gloucester,92,69863.3,5,2024
9857,073 - Gloucester,101,76575,11,2024
10849,073 - Gloucester,117,92676.27,10,2024
11845,073 - Gloucester,118,85538,9,2024
906,073 - Gloucester,100,69129,4,2025
3893,073 - Gloucester,102,80400,2,2025
4887,073 - Gloucester,101,84040,1,2025
6877,073 - Gloucester,100,75196,6,2025
7872,073 - Gloucester,108,65543,3,2025
8863,073 - Gloucester,101,74962,5,2025
1032,075 - Goochland,27,15528,8,2017
2031,075 - Goochland,23,11008,12,2017
5013,075 - Goochland,27,18375,7,2017
8990,075 - Goochland,23,12503,11,2017
9983,075 - Goochland,24,10394,10,2017
10975,075 - Goochland,24,14044,9,2017
37,075 - Goochland,25,13132,4,2018
1157,075 - Goochland,25,16176,8,2018
2155,075 - Goochland,REDACTED,6032,12,2018
3025,075 - Goochland,24,12806,2,2018
4020,075 - Goochland,22,11729,1,2018
5138,075 - Goochland,27,18861,7,2018
6008,075 - Goochland,23,11519,6,2018
7004,075 - Goochland,25,11610,3,2018
8000,075 - Goochland,27,12650,5,2018
9113,075 - Goochland,13,10090,11,2018
10107,075 - Goochland,17,9360,10,2018
11100,075 - Goochland,23,17222,9,2018
161,075 - Goochland,14,8982,4,2019
1282,075 - Goochland,16,12041,8,2019
2279,075 - Goochland,16,7562,12,2019
3149,075 - Goochland,12,7194,2,2019
4144,075 - Goochland,12,6671,1,2019
5263,075 - Goochland,13,6971,7,2019
6132,075 - Goochland,13,9675,6,2019
7128,075 - Goochland,15,8173,3,2019
8124,075 - Goochland,16,9867,5,2019
9237,075 - Goochland,15,11009,11,2019
10231,075 - Goochland,12,7822.2,10,2019
11225,075 - Goochland,15,9911.4,9,2019
286,075 - Goochland,12,6670,4,2020
1405,075 - Goochland,11,7942,8,2020
2400,075 - Goochland,14,8371.2,12,2020
3273,075 - Goochland,17,7889.2,2,2020
4268,075 - Goochland,15,8093.8,1,2020
5386,075 - Goochland,11,9229,7,2020
6256,075 - Goochland,10,6979,6,2020
7253,075 - Goochland,13,6810.2,3,2020
8248,075 - Goochland,13,8108,5,2020
9358,075 - Goochland,10,5299.2,11,2020
10352,075 - Goochland,REDACTED,5414,10,2020
11347,075 - Goochland,10,4962,9,2020
408,075 - Goochland,REDACTED,6150.2,4,2021
1529,075 - Goochland,15,13426,8,2021
2523,075 - Goochland,REDACTED,7454.2,12,2021
3395,075 - Goochland,12,6956.4,2,2021
4390,075 - Goochland,15,8960.8,1,2021
5507,075 - Goochland,17,11181.8,7,2021
6378,075 - Goochland,REDACTED,5609.6,6,2021
7375,075 - Goochland,REDACTED,4993.8,3,2021
8365,075 - Goochland,REDACTED,5567.6,5,2021
9482,075 - Goochland,REDACTED,7022.4,11,2021
10475,075 - Goochland,11,9015,10,2021
11471,075 - Goochland,16,12290.4,9,2021
531,075 - Goochland,11,9857,4,2022
1654,075 - Goochland,16,14830,8,2022
2648,075 - Goochland,21,16538,12,2022
3517,075 - Goochland,13,8466,2,2022
4513,075 - Goochland,13,11340.8,1,2022
5631,075 - Goochland,17,14640,7,2022
6501,075 - Goochland,15,12645.8,6,2022
7498,075 - Goochland,11,7625.4,3,2022
8488,075 - Goochland,15,10198.8,5,2022
9607,075 - Goochland,19,17258,11,2022
10600,075 - Goochland,19,13834.4,10,2022
11596,075 - Goochland,19,15122.8,9,2022
656,075 - Goochland,22,18075.84,4,2023
1779,075 - Goochland,15,11661.57,8,2023
2772,075 - Goochland,22,19439.16,12,2023
3642,075 - Goochland,22,17572.9,2,2023
4638,075 - Goochland,23,23493.8,1,2023
5756,075 - Goochland,16,16825.74,7,2023
6626,075 - Goochland,17,15054.91,6,2023
7623,075 - Goochland,21,15108.7,3,2023
8613,075 - Goochland,23,15985.9,5,2023
9731,075 - Goochland,19,14973.74,11,2023
10725,075 - Goochland,16,12905.57,10,2023
11720,075 - Goochland,14,14971.91,9,2023
781,075 - Goochland,25,21672.76,4,2024
1905,075 - Goochland,31,30674.88,8,2024
2899,075 - Goochland,34,27642,12,2024
3767,075 - Goochland,24,21465.55,2,2024
4761,075 - Goochland,22,19694.99,1,2024
5883,075 - Goochland,31,26317.2,7,2024
6751,075 - Goochland,29,31054.88,6,2024
7747,075 - Goochland,25,21035.76,3,2024
8738,075 - Goochland,24,22038.32,5,2024
9858,075 - Goochland,33,27439,11,2024
10850,075 - Goochland,34,26466.02,10,2024
11846,075 - Goochland,33,27792.32,9,2024
907,075 - Goochland,28,25211,4,2025
3894,075 - Goochland,30,28619,2,2025
4888,075 - Goochland,33,28024,1,2025
6878,075 - Goochland,28,22446,6,2025
7873,075 - Goochland,33,28929,3,2025
8864,075 - Goochland,27,27827,5,2025
1033,077 - Grayson,16,4654,8,2017
2032,077 - Grayson,13,2825,12,2017
5014,077 - Grayson,15,4223,7,2017
8991,077 - Grayson,12,2712,11,2017
9984,077 - Grayson,11,2309,10,2017
10976,077 - Grayson,20,4919,9,2017
38,077 - Grayson,14,2464,4,2018
1158,077 - Grayson,REDACTED,2989,8,2018
2156,077 - Grayson,REDACTED,1765,12,2018
3026,077 - Grayson,12,2416,2,2018
4021,077 - Grayson,12,2288,1,2018
5139,077 - Grayson,REDACTED,2839,7,2018
6009,077 - Grayson,11,2137,6,2018
7005,077 - Grayson,16,3517,3,2018
8001,077 - Grayson,13,2514,5,2018
9114,077 - Grayson,REDACTED,2743,11,2018
10108,077 - Grayson,REDACTED,2327,10,2018
11101,077 - Grayson,REDACTED,2943,9,2018
162,077 - Grayson,REDACTED,2477,4,2019
1283,077 - Grayson,11,3380,8,2019
2280,077 - Grayson,REDACTED,2089,12,2019
3150,077 - Grayson,REDACTED,2437,2,2019
4145,077 - Grayson,REDACTED,1961,1,2019
5264,077 - Grayson,12,3206,7,2019
6133,077 - Grayson,11,3671,6,2019
7129,077 - Grayson,REDACTED,2297,3,2019
8125,077 - Grayson,11,2810,5,2019
9238,077 - Grayson,10,2701,11,2019
10232,077 - Grayson,REDACTED,1696,10,2019
11226,077 - Grayson,13,2209,9,2019
287,077 - Grayson,REDACTED,2505,4,2020
1406,077 - Grayson,11,3936,8,2020
2401,077 - Grayson,REDACTED,1980,12,2020
3274,077 - Grayson,11,2637,2,2020
4269,077 - Grayson,10,2472,1,2020
5387,077 - Grayson,12,3467,7,2020
6257,077 - Grayson,REDACTED,1763,6,2020
7254,077 - Grayson,REDACTED,2301,3,2020
8249,077 - Grayson,REDACTED,1265,5,2020
9359,077 - Grayson,REDACTED,2160,11,2020
10353,077 - Grayson,REDACTED,2557,10,2020
11348,077 - Grayson,11,3326,9,2020
409,077 - Grayson,REDACTED,3263,4,2021
1530,077 - Grayson,10,4576,8,2021
2524,077 - Grayson,REDACTED,2848,12,2021
3396,077 - Grayson,REDACTED,3408,2,2021
4391,077 - Grayson,REDACTED,2300,1,2021
5508,077 - Grayson,10,4876,7,2021
6379,077 - Grayson,10,3379,6,2021
7376,077 - Grayson,12,3215,3,2021
8366,077 - Grayson,REDACTED,3387,5,2021
9483,077 - Grayson,10,3892,11,2021
10476,077 - Grayson,10,3775,10,2021
11472,077 - Grayson,11,4749,9,2021
532,077 - Grayson,REDACTED,2128,4,2022
1655,077 - Grayson,15,5911,8,2022
2649,077 - Grayson,16,12713,12,2022
3518,077 - Grayson,REDACTED,2412,2,2022
4514,077 - Grayson,10,3553,1,2022
5632,077 - Grayson,14,6119,7,2022
6502,077 - Grayson,REDACTED,3896,6,2022
7499,077 - Grayson,REDACTED,2286,3,2022
8489,077 - Grayson,REDACTED,2886,5,2022
9608,077 - Grayson,14,8202,11,2022
10601,077 - Grayson,13,5175.6,10,2022
11597,077 - Grayson,16,6112,9,2022
657,077 - Grayson,18,12328,4,2023
1780,077 - Grayson,23,14354,8,2023
2773,077 - Grayson,19,12446,12,2023
3643,077 - Grayson,20,14570,2,2023
4639,077 - Grayson,20,16459,1,2023
5757,077 - Grayson,21,15428,7,2023
6627,077 - Grayson,20,12350,6,2023
7624,077 - Grayson,20,10975,3,2023
8614,077 - Grayson,18,10535,5,2023
9732,077 - Grayson,17,10344,11,2023
10726,077 - Grayson,REDACTED,5560,10,2023
11721,077 - Grayson,22,14549,9,2023
782,077 - Grayson,24,17765,4,2024
1906,077 - Grayson,27,22259,8,2024
2900,077 - Grayson,21,13151,12,2024
3768,077 - Grayson,26,18920,2,2024
4762,077 - Grayson,21,11197,1,2024
5884,077 - Grayson,29,21011,7,2024
6752,077 - Grayson,31,20291,6,2024
7748,077 - Grayson,24,18257,3,2024
8739,077 - Grayson,24,20792,5,2024
9859,077 - Grayson,25,15173,11,2024
10851,077 - Grayson,22,15945,10,2024
11847,077 - Grayson,27,16883,9,2024
908,077 - Grayson,24,20100,4,2025
3895,077 - Grayson,21,15146,2,2025
4889,077 - Grayson,21,13748,1,2025
6879,077 - Grayson,22,19380,6,2025
7874,077 - Grayson,24,13214,3,2025
8865,077 - Grayson,26,20659,5,2025
1034,079 - Greene,17,8667,8,2017
2033,079 - Greene,19,8429,12,2017
5015,079 - Greene,19,9582,7,2017
8992,079 - Greene,16,7743,11,2017
9985,079 - Greene,16,5716,10,2017
10977,079 - Greene,17,6107,9,2017
39,079 - Greene,19,9156,4,2018
1159,079 - Greene,21,12100,8,2018
2157,079 - Greene,19,9766,12,2018
3027,079 - Greene,19,10017,2,2018
4022,079 - Greene,19,10585,1,2018
5140,079 - Greene,21,14759,7,2018
6010,079 - Greene,20,10987,6,2018
7006,079 - Greene,19,10660,3,2018
8002,079 - Greene,21,10675,5,2018
9115,079 - Greene,19,10100,11,2018
10109,079 - Greene,17,11840,10,2018
11102,079 - Greene,17,9378,9,2018
163,079 - Greene,19,8663,4,2019
1284,079 - Greene,16,7910,8,2019
2281,079 - Greene,17,6764,12,2019
3151,079 - Greene,19,9289,2,2019
4146,079 - Greene,19,9625,1,2019
5265,079 - Greene,15,7201,7,2019
6134,079 - Greene,19,9306,6,2019
7130,079 - Greene,19,8544,3,2019
8126,079 - Greene,19,9197,5,2019
9239,079 - Greene,16,6715,11,2019
10233,079 - Greene,15,6056,10,2019
11227,079 - Greene,16,6415,9,2019
288,079 - Greene,20,10322.6,4,2020
1407,079 - Greene,18,11498,8,2020
2402,079 - Greene,16,7093,12,2020
3275,079 - Greene,20,12817.4,2,2020
4270,079 - Greene,18,8424.2,1,2020
5388,079 - Greene,18,6760,7,2020
6258,079 - Greene,REDACTED,3753,6,2020
7255,079 - Greene,18,7109,3,2020
8250,079 - Greene,18,4860,5,2020
9360,079 - Greene,13,5560,11,2020
10354,079 - Greene,21,6904,10,2020
11349,079 - Greene,17,8665,9,2020
410,079 - Greene,15,8314,4,2021
1531,079 - Greene,15,9936,8,2021
2525,079 - Greene,16,10198,12,2021
3397,079 - Greene,15,6169,2,2021
4392,079 - Greene,15,7369,1,2021
5509,079 - Greene,16,10249,7,2021
6380,079 - Greene,15,8685,6,2021
7377,079 - Greene,14,5167,3,2021
8367,079 - Greene,16,10128,5,2021
9484,079 - Greene,19,9844,11,2021
10477,079 - Greene,18,10302,10,2021
11473,079 - Greene,16,9391,9,2021
533,079 - Greene,20,12136,4,2022
1656,079 - Greene,45,28869,8,2022
2650,079 - Greene,60,49964,12,2022
3519,079 - Greene,18,10681,2,2022
4515,079 - Greene,16,10710,1,2022
5633,079 - Greene,35,25983,7,2022
6503,079 - Greene,30,16712,6,2022
7500,079 - Greene,16,9213,3,2022
8490,079 - Greene,23,13755,5,2022
9609,079 - Greene,49,41961,11,2022
10602,079 - Greene,47,32644,10,2022
11598,079 - Greene,50,32166,9,2022
658,079 - Greene,66,58860.9,4,2023
1781,079 - Greene,79,70513.3,8,2023
2774,079 - Greene,99,78521.11,12,2023
3644,079 - Greene,57,49518,2,2023
4640,079 - Greene,58,53744.9,1,2023
5758,079 - Greene,80,76821.6,7,2023
6628,079 - Greene,80,79924.9,6,2023
7625,079 - Greene,59,46723.75,3,2023
8615,079 - Greene,71,55238,5,2023
9733,079 - Greene,81,70737.3,11,2023
10727,079 - Greene,78,60405.14,10,2023
11722,079 - Greene,83,68559.66,9,2023
783,079 - Greene,102,154336.09,4,2024
1907,079 - Greene,101,90862.35,8,2024
2901,079 - Greene,83,64990.68,12,2024
3769,079 - Greene,52,54620.12,2,2024
4763,079 - Greene,94,59340.64,1,2024
5885,079 - Greene,102,86437.61,7,2024
6753,079 - Greene,109,90201.01,6,2024
7749,079 - Greene,55,44530.29,3,2024
8740,079 - Greene,103,80033.38,5,2024
9860,079 - Greene,88,73532.34,11,2024
10852,079 - Greene,90,67872.99,10,2024
11848,079 - Greene,97,71623.77,9,2024
909,079 - Greene,92,65852,4,2025
3896,079 - Greene,84,70420.34,2,2025
4890,079 - Greene,89,64698.34,1,2025
6880,079 - Greene,91,69151,6,2025
7875,079 - Greene,90,59332.34,3,2025
8866,079 - Greene,88,68328,5,2025
1035,081 - Greensville,81,19913,8,2017
2034,081 - Greensville,76,21272,12,2017
5016,081 - Greensville,88,19742,7,2017
8993,081 - Greensville,78,22305,11,2017
9986,081 - Greensville,83,20567,10,2017
10978,081 - Greensville,75,19209,9,2017
40,081 - Greensville,63,16970,4,2018
1160,081 - Greensville,56,21089,8,2018
2158,081 - Greensville,52,18752,12,2018
3028,081 - Greensville,67,17740,2,2018
4023,081 - Greensville,74,18930,1,2018
5141,081 - Greensville,58,21946,7,2018
6011,081 - Greensville,60,19469,6,2018
7007,081 - Greensville,64,18204,3,2018
8003,081 - Greensville,61,17811,5,2018
9116,081 - Greensville,54,26442,11,2018
10110,081 - Greensville,57,17926,10,2018
11103,081 - Greensville,59,24028,9,2018
164,081 - Greensville,54,23968,4,2019
1285,081 - Greensville,64,30187,8,2019
2282,081 - Greensville,67,22200,12,2019
3152,081 - Greensville,55,26192,2,2019
4147,081 - Greensville,43,14912,1,2019
5266,081 - Greensville,55,23096,7,2019
6135,081 - Greensville,52,27783,6,2019
7131,081 - Greensville,55,22943,3,2019
8127,081 - Greensville,58,24236,5,2019
9240,081 - Greensville,63,23109,11,2019
10234,081 - Greensville,63,21434,10,2019
11228,081 - Greensville,61,22978,9,2019
289,081 - Greensville,64,21748,4,2020
1408,081 - Greensville,55,24388,8,2020
2403,081 - Greensville,39,12317,12,2020
3276,081 - Greensville,71,27815,2,2020
4271,081 - Greensville,67,22637,1,2020
5389,081 - Greensville,56,24440,7,2020
6259,081 - Greensville,60,23020,6,2020
7256,081 - Greensville,66,20069,3,2020
8251,081 - Greensville,59,23646,5,2020
9361,081 - Greensville,44,16725.2,11,2020
10355,081 - Greensville,56,16600.8,10,2020
11350,081 - Greensville,56,24553,9,2020
411,081 - Greensville,34,12716,4,2021
1532,081 - Greensville,31,13532,8,2021
2526,081 - Greensville,36,17348,12,2021
3398,081 - Greensville,31,11071,2,2021
4393,081 - Greensville,36,12069,1,2021
5510,081 - Greensville,35,15701.8,7,2021
6381,081 - Greensville,31,12155,6,2021
7378,081 - Greensville,32,10332,3,2021
8368,081 - Greensville,31,12106,5,2021
9485,081 - Greensville,40,18074.8,11,2021
10478,081 - Greensville,41,17368.6,10,2021
