"","FIPS","Name","2030 Total Population","2030 Total 0-4","2040 Total Population","2040 Total 0-4","2050 Total Population","2050 Total 0-4","City","Population_16plus","Poverty_Percent","Children_U6_Working_Parents","Median_Income","Unemployment_Rate","Licensed_Capacity_Total","Cap_Centers","Cap_Preschools","Cap_Family","Cap_SchoolAge","Infant_Weekly_Cost","Toddler_Weekly_Cost","Preschool_Weekly_Cost","SchoolAge_Weekly_Cost"
"117","51683","Manassas","47038.928136637471","3521.8361277567915","50107.462071385547","3730.2174477066196","53925.962071385547","3967.5611592566265","Manassas",41038,NA,2418,86227,4.4,6442,4591,273,168,1410,381,369,342,249
"118","51685","Manassas Park","19875.950503432192","1542.6565985099926","22996.261926333143","1797.3154560941261","26460.761926333143","1989.2150958309992","Manassas%20Park",17548,NA,1063,81639,3.1,89,NA,75,14,NA,0,0,0,0
"119","51690","Martinsville","12960.519373648893","750.11019421777439","11818.135527731494","672.2887362886363","10852.635527731494","628.70409855101514","Martinsville",12646,26.4,729,36166,3.9,973,180,102,34,657,160,155,142,140
"120","51700","Newport News","189026.0554324676","12769.533393633927","189242.13932629552","12411.558108756388","192290.63932629552","12523.178226341914","Newport%20News",179582,14.8,9922,54511,5.7,6448,4355,787,21,1285,262,230,200,153
"121","51710","Norfolk","229864.16013160979","14243.044956997617","228248.92350766817","13490.197456393911","230049.92350766817","13539.511379662245","Norfolk",244300,17.8,12436,53026,4.6,6562,3870,662,247,1783,226,207,187,138
"122","51720","Norton","3367.0343129047546","191.51572861683437","3210.482528796209","175.72298271669587","3101.982528796209","175.80728286596693","Norton",3969,31.6,77,30518,8.6,293,223,20,NA,50,290,260,260,0
"123","51730","Petersburg","34001.526831956209","2056.0076213263619","33361.204569585934","1842.9465259204635","33220.204569585934","1852.0081365060803","Petersburg",30791,22.6,1759,43029,12.6,1515,654,163,80,618,0,0,0,0
"124","51735","Poquoson","12586.952042094179","588.26061699916011","12841.747636841334","588.2240095275198","13288.747636841334","606.01975066348905","Poquoson",12121,NA,426,100696,1.7,324,224,NA,NA,100,0,0,0,0
"125","51740","Portsmouth","98857.34965245385","6618.347570217039","96094.094609215987","6173.7841921186709","94769.094609215987","6104.4191586075531","Portmouth",8509358,NA,396207,NA,4.6,0,NA,NA,NA,NA,0,0,0,0
"126","51750","Radford","15506.49408975925","572.98867501054963","15381.772739462567","566.88532158388603","15487.272739462567","581.21950454955868","Radford",17833,39.3,241,34576,6.5,377,286,91,NA,NA,0,0,0,0
"127","51760","Richmond","245436.69382879429","14730.389226656673","256014.8798798873","14509.795241462485","270424.87987988733","15276.463627199819","Richmond%20County",8951,16.7,244,53298,2.5,325,65,58,12,190,220,200,170,0
"128","51760","Richmond","245436.69382879429","14730.389226656673","256014.8798798873","14509.795241462485","270424.87987988733","15276.463627199819","Richmond",229233,20.9,11191,51421,6.3,14756,10004,1210,308,3234,316,303,244,150
"129","51770","Roanoke","101513.71893620043","6629.0458644032042","102529.14944093642","6550.7787240556636","105079.14944093642","6783.0271922335332","Roanoke",99122,20.1,5251,45664,6.7,5690,3810,299,146,1435,283,256,190,115
"130","51775","Salem","25518.887108051549","1154.3363862202939","25437.657784921903","1153.1462202205114","25737.157784921903","1174.9754390281021","Salem",25290,8.7,800,63411,4.9,1864,1213,36,NA,615,366,333,219,0
"131","51790","Staunton","27356.168126568664","1494.5456321738","27887.275007000902","1500.6858515019046","28835.775007000902","1568.7447174075019","Staunton",24660,12.2,1063,52292,3.7,439,299,NA,NA,140,225,215,187,157
"132","51800","Suffolk","102571.33832078672","6731.3694951797788","116156.30903905809","7455.2998932812507","131479.80903905811","8308.2862891524055","Suffolk",91383,9.2,4541,79899,6.2,3265,1492,500,123,1150,199,186,156,151
"133","51810","Virginia Beach","474052.01541401935","27785.435350920798","483915.67532721063","27249.447766598292","501022.17532721063","28041.804190305913","Virginia%20Beach",450882,7.2,20897,78136,4.4,14982,11741,1336,315,1590,290,272,247,197
"134","51820","Waynesboro","23050.779988756025","1478.5648395826536","24029.132282715505","1509.192934984173","25367.132282715505","1596.3470915389019","Waynesboro",22300,14.9,1158,43480,4.6,641,391,NA,NA,250,218,203,190,149
"135","51830","Williamsburg","16541.443161348827","479.48169538913396","17985.747718407194","519.11866341654149","19699.247718407194","578.83710628091865","Williamsburg",15034,15.2,429,59288,5.2,4158,2026,401,11,1720,226,219,194,159
"136","51840","Winchester","29606.44310793914","1792.982733573228","31403.91588531786","1885.6035494308685","33671.41588531786","2037.8496254010017","Winchester",27912,15.3,1450,61102,5.3,2055,1616,199,20,220,209,193,176,158
