"","X","STATE_NAME","STATE_ABBREVIATION","COUNTY_NAME","COUNTY_FIPS_CODE","STUDYYEAR","EMR_16","FEMR_16","MEMR_16","EMR_20to64","FEMR_20to64","MEMR_20to64","UNR_16","FUNR_16","MUNR_16","UNR_20to64","FUNR_20to64","MUNR_20to64","FLFPR_20to64","FLFPR_20to64_UNDER6","FLFPR_20to64_6to17","FLFPR_20to64_UNDER6_6to17","MLFPR_20to64","PR_F","PR_P","MHI","MFI","MFI_2022","ME","FME","MME","MHI_2022","ME_2022","FME_2022","MME_2022","TOTALPOP","ONERACE","ONERACE_W","ONERACE_B","ONERACE_I","ONERACE_A","ONERACE_H","ONERACE_OTHER","TWORACES","HISPANIC","HOUSEHOLDS","H_UNDER6_BOTHWORK","H_UNDER6_FWORK","H_UNDER6_MWORK","H_UNDER6_SINGLEM","H_6to17_BOTHWORK","H_6to17_FWORK","H_6to17_MWORK","H_6to17_SINGLEM","EMP_M","MEMP_M","FEMP_M","EMP_SERVICE","MEMP_SERVICE","FEMP_SERVICE","EMP_SALES","MEMP_SALES","FEMP_SALES","EMP_N","MEMP_N","FEMP_N","EMP_P","MEMP_P","FEMP_P","iEMR_16","iFEMR_16","iMEMR_16","iEMR_20to64","iFEMR_20to64","iMEMR_20to64","iUNR_16","iFUNR_16","iMUNR_16","iUNR_20to64","iFUNR_20to64","iMUNR_20to64","iFLFPR_20to64","iFLFPR_20to64_UNDER6","iFLFPR_20to64_6to17","iFLFPR_20to64_UNDER6_6to17","iMLFPR_20to64","iPR_F","iPR_P","iMHI","iMFI","iME","iFME","iMME","iMHI_2022","iMFI_2022","iME_2022","iFME_2022","iMME_2022","iTOTALPOP","iONERACE","iONERACE_W","iONERACE_B","iONERACE_I","iONERACE_A","iONERACE_H","iONERACE_OTHER","iTWORACES","iHISPANIC","iHOUSEHOLDS","iH_UNDER6_BOTHWORK","iH_UNDER6_FWORK","iH_UNDER6_MWORK","iH_UNDER6_SINGLEM","iH_6to17_BOTHWORK","iH_6to17_FWORK","iH_6to17_MWORK","iH_6to17_SINGLEM","iEMP_M","iMEMP_M","iFEMP_M","iEMP_SERVICE","iMEMP_SERVICE","iFEMP_SERVICE","iEMP_SALES","iMEMP_SALES","iFEMP_SALES","iEMP_N","iMEMP_N","iFEMP_N","iEMP_P","iMEMP_P","iFEMP_P","MCBto5","MC6to11","MC12to17","MC18to23","MC24to29","MC30to35","MC36to41","MC42to47","MC48to53","MC54toSA","MCSA","MFCCBto5","MFCC6to11","MFCC12to17","MFCC18to23","MFCC24to29","MFCC30to35","MFCC36to41","MFCC42to47","MFCC48to53","MFCC54toSA","MFCCSA","X_75CBto5","X_75C6to11","X_75C12to17","X_75C18to23","X_75C24to29","X_75C30to35","X_75C36to41","X_75C42to47","X_75C48to53","X_75C54toSA","X_75CSA","X_75FCCBto5","X_75FCC6to11","X_75FCC12to17","X_75FCC18to23","X_75FCC24to29","X_75FCC30to35","X_75FCC36to41","X_75FCC42to47","X_75FCC48to53","X_75FCC54toSA","X_75FCCSA","iMCBto5","iMC6to11","iMC12to17","iMC18to23","iMC24to29","iMC30to35","iMC36to41","iMC42to47","iMC48to53","iMC54toSA","iMCSA","iMFCCBto5","iMFCC6to11","iMFCC12to17","iMFCC18to23","iMFCC24to29","iMFCC30to35","iMFCC36to41","iMFCC42to47","iMFCC48to53","iMFCC54toSA","iMFCCSA","i_75CBto5","i_75C6to11","i_75C12to17","i_75C18to23","i_75C24to29","i_75C30to35","i_75C36to41","i_75C42to47","i_75C48to53","i_75C54toSA","i_75CSA","i_75FCCBto5","i_75FCC6to11","i_75FCC12to17","i_75FCC18to23","i_75FCC24to29","i_75FCC30to35","i_75FCC36to41","i_75FCC42to47","i_75FCC48to53","i_75FCC54toSA","i_75FCCSA","MCINFANT","MCInfant_flag","MCTODDLER","MCToddler_flag","MCPRESCHOOL","MCPreschool_flag","X_75CINFANT","X_75CInfant_flag","X_75CTODDLER","X_75CToddler_flag","X_75CPRESCHOOL","X_75CPreschool_flag","MFCCINFANT","MFCCInfant_flag","MFCCTODDLER","MFCCToddler_flag","MFCCPRESCHOOL","MFCCPreschool_flag","X_75FCCINFANT","X_75FCCInfant_flag","X_75FCCTODDLER","X_75FCCToddler_flag","X_75FCCPRESCHOOL","X_75FCCPreschool_flag","STATE_FIPS","EMR_16_STATE","FEMR_16_STATE","MEMR_16_STATE","EMR_20to64_STATE","FEMR_20to64_STATE","MEMR_20to64_STATE","UNR_16_STATE","FUNR_16_STATE","MUNR_16_STATE","UNR_20to64_STATE","FUNR_20to64_STATE","MUNR_20to64_STATE","FLFPR_20to64_STATE","FLFPR_20to64_UNDER6_STATE","FLFPR_20to64_6to17_STATE","FLFPR_20to64_UNDER6_6to17_STATE","MLFPR_20to64_STATE","PR_F_STATE","PR_P_STATE","MHI_STATE","MFI_STATE","MFI_2022_STATE","ME_STATE","FME_STATE","MME_STATE","MHI_2022_STATE","ME_2022_STATE","FME_2022_STATE","MME_2022_STATE","TOTALPOP_STATE","ONERACE_STATE","ONERACE_W_STATE","ONERACE_B_STATE","ONERACE_I_STATE","ONERACE_A_STATE","ONERACE_H_STATE","ONERACE_OTHER_STATE","TWORACES_STATE","HISPANIC_STATE","HOUSEHOLDS_STATE","H_UNDER6_BOTHWORK_STATE","H_UNDER6_FWORK_STATE","H_UNDER6_MWORK_STATE","H_UNDER6_SINGLEM_STATE","H_6to17_BOTHWORK_STATE","H_6to17_FWORK_STATE","H_6to17_MWORK_STATE","H_6to17_SINGLEM_STATE","EMP_M_STATE","MEMP_M_STATE","FEMP_M_STATE","EMP_SERVICE_STATE","MEMP_SERVICE_STATE","FEMP_SERVICE_STATE","EMP_SALES_STATE","MEMP_SALES_STATE","FEMP_SALES_STATE","EMP_N_STATE","MEMP_N_STATE","FEMP_N_STATE","EMP_P_STATE","MEMP_P_STATE","FEMP_P_STATE","iEMR_16_STATE","iFEMR_16_STATE","iMEMR_16_STATE","iEMR_20to64_STATE","iFEMR_20to64_STATE","iMEMR_20to64_STATE","iUNR_16_STATE","iFUNR_16_STATE","iMUNR_16_STATE","iUNR_20to64_STATE","iFUNR_20to64_STATE","iMUNR_20to64_STATE","iFLFPR_20to64_STATE","iFLFPR_20to64_Under6_STATE","iFLFPR_20to64_6to17_STATE","iFLFPR_20to64_Under6_6to17_STATE","iMLFPR_20to64_STATE","iPR_F_STATE","iPR_P_STATE","iMHI_STATE","iMFI_STATE","iME_STATE","iFME_STATE","iMME_STATE","iMHI_2022_STATE","iMFI_2022_STATE","iME_2022_STATE","iFME_2022_STATE","iMME_2022_STATE","iTOTALPOP_STATE","iONERACE_STATE","iONERACE_W_STATE","iONERACE_B_STATE","iONERACE_I_STATE","iONERACE_A_STATE","iONERACE_H_STATE","iONERACE_OTHER_STATE","iTWORACES_STATE","iHISPANIC_STATE","iHOUSEHOLDS_STATE","iH_UNDER6_BOTHWORK_STATE","iH_UNDER6_FWORK_STATE","iH_UNDER6_MWORK_STATE","iH_UNDER6_SINGLEM_STATE","iH_6to17_BOTHWORK_STATE","iH_6to17_FWORK_STATE","iH_6to17_MWORK_STATE","iH_6to17_SINGLEM_STATE","iEMP_M_STATE","iMEMP_M_STATE","iFEMP_M_STATE","iEMP_SERVICE_STATE","iMEMP_SERVICE_STATE","iFEMP_SERVICE_STATE","iEMP_SALES_STATE","iMEMP_SALES_STATE","iFEMP_SALES_STATE","iEMP_N_STATE","iMEMP_N_STATE","iFEMP_N_STATE","iEMP_P_STATE","iMEMP_P_STATE","iFEMP_P_STATE","POPPCT_URB","Urban"
"516",516,"Virginia","VA","Giles County",51071,2013,53.5,48.6,58.8,68.2,64.2,72.3,6.7,6.2,7.1,6.9,6.1,7.6,68.3,71.2,88.5,65.6,78.5,8.9,13.3,45141,54697,69465,30148,25069,34943,57329,38288,31838,44378,17111,98.6,96.5,1.2,0.4,0.3,0,0.3,1.4,1.3,7167,430,255,0,218,999,585,77,537,30,24.6,36.2,16.1,11.8,21,18.2,9.9,27.4,11.4,20.7,1,24.2,33,14.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,125,125,125,113.33,100,100,100,100,100,100,88.33,93.33,93.33,93.33,83.33,78.33,78.33,78.33,78.33,78.33,78.33,75,138.67,138.67,138.67,123.33,110.33,110.33,110.33,110.33,110.33,110.33,106.67,113.33,113.33,113.33,101.67,93.33,93.33,93.33,93.33,93.33,93.33,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,125,2,100,1,100,1,138.67,2,110.33,1,110.33,1,93.33,2,78.33,1,78.33,1,113.33,2,93.33,1,93.33,1,51,60.4,56.7,64.3,72.2,68.9,75.6,6.6,6.7,6.6,6.2,6.3,6.1,74.1,68.2,68.6,79.1,83.8,8.4,11.7,62666,75524,95915,33742,27499,40779,79586,42852,34924,51789,8260405,96.7,69.3,19.3,0.2,5.9,0.1,2,3.3,8.6,3055863,231952,152895,8731,157537,547519,222384,28684,299011,42.2,39.6,45.1,17.4,14.7,20.4,22.6,16.5,29.3,8.3,15.4,0.7,9.4,14,4.6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"517",517,"Virginia","VA","Giles County",51071,2014,53.8,48.4,59.6,68.7,63.5,74.1,5.4,5.6,5.2,5.4,5.4,5.4,67.1,74.5,87.9,65.2,78.5,9,13.3,45919,54483,67559,30248,24492,36158,56940,37508,30370,44836,17025,99.2,96.6,1.2,0.4,0.6,0.1,0.4,0.8,1.4,7253,405,144,0,216,993,502,51,443,28.9,24,34.4,18.3,13.8,23.5,18.1,8.5,29.1,11.9,21.6,0.9,22.8,32.2,12.1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,130,130,130,116.67,100,100,100,100,100,100,91.67,96.67,96.67,96.67,86.67,81.67,81.67,81.67,81.67,81.67,81.67,75,139.33,139.33,139.33,126.67,112.67,112.67,112.67,112.67,112.67,112.67,108.33,116.67,116.67,116.67,103.33,96.67,96.67,96.67,96.67,96.67,96.67,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,130,2,100,1,100,1,139.33,2,112.67,1,112.67,1,96.67,2,81.67,1,81.67,1,116.67,2,96.67,1,96.67,1,51,60.6,57,64.4,73,70.1,76,6.1,5.9,6.2,5.6,5.5,5.7,74.8,69,68.3,78.8,83.8,8.3,11.8,64902,78290,97080,35108,28663,41266,80478,43534,35542,51170,8326289,96.7,68.9,19.2,0.3,6.1,0.1,2.1,3.3,2.8,3083820,247162,145148,8833,143402,538796,239476,30681,297568,42.9,40.5,45.5,17,13.8,20.4,22.1,15.8,28.9,8.4,15.5,0.8,9.6,14.5,4.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"518",518,"Virginia","VA","Giles County",51071,2015,54.7,48.7,61,69.7,63.5,76,4.8,4.8,4.9,5.1,4.9,5.1,66.8,54.2,86.6,64.2,80.4,7.5,11.3,46390,54230,67245,29018,24370,33537,57524,35982,30219,41586,16907,99.4,96.1,1.6,0.6,0.7,0.1,0.4,0.6,1.2,7230,291,267,8,209,918,413,35,506,24.8,22.6,27.4,17.8,10.9,25.9,19.8,11.4,29.6,12.9,23,0.9,24.8,32.1,16.2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,135,135,135,120,100,100,100,100,100,100,95,100,100,100,90,85,85,85,85,85,85,75,140,140,140,130,115,115,115,115,115,115,110,120,120,120,105,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,2,100,1,100,1,140,2,115,1,115,1,100,2,85,1,85,1,120,2,100,1,100,1,51,60.7,57.3,64.3,73.1,70.2,75.9,5.5,5.5,5.5,5.1,5.2,5.1,74.8,71.8,67.4,77.7,83.7,7.8,11.2,66262,80403,99700,35296,42342,54392,82165,43767,52504,67446,8382993,96.5,68.2,19.2,0.3,6.3,0.1,2.4,3.5,9,3106895,243703,140916,10382,151169,540684,224678,30048,301996,43,40.2,45.9,16.8,13.7,20.2,22.1,16.1,28.6,8.5,15.8,0.8,9.6,14.2,4.6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"519",519,"Virginia","VA","Giles County",51071,2016,55.2,50.4,60.3,70.2,65.1,75.5,4.7,4.2,5.1,4.7,4.3,5,68.1,49.7,85.8,52.8,79.5,8.2,11.8,47675,55238,67943,29912,25795,33830,58640,36792,31728,41611,16871,99.7,96.7,2.5,0.2,0.3,0,0,0.3,1.5,7290,236,337,18,176,843,325,119,556,26.1,24,28.5,18.4,14.6,22.6,18.9,9.2,30,12.3,22.3,1,24.3,30,17.9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,136.67,136.67,136.67,123.33,105,105,105,105,105,105,100,100,100,100,93.33,81.67,81.67,81.67,81.67,81.67,81.67,78.33,143.33,143.33,143.33,133.33,118.33,118.33,118.33,118.33,118.33,118.33,113.33,125,125,125,110,105,105,105,105,105,105,105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,136.67,2,105,1,105,1,143.33,2,118.33,1,118.33,1,100,2,81.67,1,81.67,1,125,2,105,1,105,1,51,60.9,57.3,64.6,73.8,70.7,77,5,4.9,5.1,4.6,4.6,4.6,74.8,74.4,78,67.2,84.2,7.6,11,68114,83306,102466,36282,30591,41905,83780,44627,37627,51543,8411808,96.3,67.8,19,0.3,6.3,0.1,2.7,3.7,9,3120692,247496,135187,13947,135887,539822,220386,37253,303826,43.5,40.6,46.6,16.4,13.6,19.5,22.1,15.9,28.8,8.5,15.6,0.8,9.5,14.4,4.3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"520",520,"Virginia","VA","Giles County",51071,2017,54.7,50.7,58.8,70.7,65.9,75.5,4.8,4.7,4.9,5,4.9,5.1,69.2,48.6,80.7,55.1,79.6,6.8,11.3,49734,57483,69554,30183,26582,33291,60178,36521,32164,40282,16867,99.5,96.7,2.4,0.2,0.2,0.1,0,0.5,1.6,7088,253,339,17,140,819,337,130,449,25.2,21.8,28.9,20.4,17.8,23.3,20.9,10.2,32.7,12.3,22.4,1,21.4,27.8,14.2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,138.33,138.33,138.33,126.67,110,110,110,110,110,110,105,100,100,100,96.67,78.33,78.33,78.33,78.33,78.33,78.33,81.67,146.67,146.67,146.67,136.67,121.67,121.67,121.67,121.67,121.67,121.67,116.67,130,130,130,115,110,110,110,110,110,110,110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,138.33,2,110,1,110,1,146.67,2,121.67,1,121.67,1,100,2,78.33,1,78.33,1,130,2,110,1,110,1,51,61.1,57.7,64.7,74.1,71.2,77.1,4.6,4.6,4.6,4.2,4.2,4.2,75,73.5,79.8,66.8,84.1,7.1,10.6,71535,86279,104398,37483,31126,45226,86557,45354,37662,54723,8470020,96.1,67.5,19.2,0.3,6.4,0,2.6,3.9,9.3,3120880,252763,142732,7535,135468,576521,213181,24004,289128,44.1,41.1,47.2,17.1,14.4,19.9,21.3,15.2,27.7,8.2,15.2,0.8,9.4,14.2,4.3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"521",521,"Virginia","VA","Giles County",51071,2018,54,48.6,59.5,71.3,64.7,77.9,4.6,4.6,4.6,4.7,4.8,4.7,68,47.1,81.5,46,81.8,7.3,11.3,52478,57629,68002,32817,28556,38949,61924,38724,33696,45960,16814,99.1,96.6,2.2,0,0.2,0.1,0,0.9,1.7,6987,178,356,22,215,798,249,128,461,27.5,21.9,34.1,18.1,15,21.9,20.9,11.9,31.5,12.6,23.1,0.2,20.9,28.1,12.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,140,140,140,130,115,115,115,115,115,115,110,100,100,100,100,75,75,75,75,75,75,85,150,150,150,140,125,125,125,125,125,125,120,135,135,135,120,115,115,115,115,115,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,2,115,1,115,1,150,2,125,1,125,1,100,1,75,1,75,1,135,2,115,1,115,1,51,61,57.2,64.9,74.3,71.1,77.6,4.2,4.3,4.1,3.9,4,3.7,74.8,72.1,79.8,65.2,84.2,7.1,10.7,72577,88929,104936,39324,32079,45839,85641,46402,37853,54090,8517685,95.9,67.4,19.2,0.3,6.5,0.1,2.5,4.1,9.5,3175524,245663,140317,9658,139551,564957,210485,25866,298594,44.7,41.6,48,16.4,13.6,19.5,19.7,14,25.8,8.3,15.1,0.9,11,15.8,5.9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"522",522,"Virginia","VA","Giles County",51071,2019,54.6,48.7,60.6,72.2,64.8,79.8,4.9,5.1,4.8,5.1,5.4,4.9,68.5,54.6,80.9,41.5,83.9,5.8,10.2,54520,61638,71500,33637,29805,40533,63243,39019,34574,47018,16772,99.1,96.6,2.2,0,0.1,0.2,0,0.9,1.7,6910,267,383,25,225,817,295,151,484,27.9,22.4,34.5,18.1,16.1,20.5,19.3,10.9,29.3,11.9,21.6,0.2,22.9,29.1,15.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,141.67,141.67,141.67,133.33,120,120,120,120,120,120,115,100,100,100,103.33,71.67,71.67,71.67,71.67,71.67,71.67,88.33,153.33,153.33,153.33,143.33,128.33,128.33,128.33,128.33,128.33,128.33,123.33,140,140,140,125,120,120,120,120,120,120,120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,141.67,2,120,1,120,1,153.33,2,128.33,1,128.33,1,100,2,71.67,1,71.67,1,140,2,120,1,120,1,51,61.5,58.5,64.6,74.8,72.7,77.1,4,4.1,3.9,3.6,3.7,3.4,76.3,75.7,80.5,69.6,83.9,6.5,9.9,76456,93497,108457,40405,33628,46552,88689,46870,39008,54000,8535519,96.2,67,19.4,0.3,6.6,0.1,2.9,3.8,9.7,3191847,263423,124776,9100,132483,561540,203854,24241,295450,45.4,42,49,17.1,14.3,20.1,19,13.5,24.8,7.8,14.6,0.8,10.7,15.7,5.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"523",523,"Virginia","VA","Giles County",51071,2020,54.7,49.2,60.6,72.9,66.9,79,4.1,4.2,4.1,4.2,4.3,4,69.9,72.1,78.6,50.8,82.4,5.6,9.8,57279,63276,72767,36702,30367,43305,65871,42207,34922,49801,16760,98.4,95.9,1.8,0,0.5,0.2,0,1.6,1.8,6715,487,249,22,183,1010,209,151,324,29.5,20.5,39.9,17.8,17.8,17.9,18.1,8.7,29,11.8,21.9,0.2,22.7,31.1,13,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,143.33,143.33,143.33,136.67,125,125,125,125,125,125,120,100,100,100,106.67,68.33,68.33,68.33,68.33,68.33,68.33,91.67,156.67,156.67,156.67,146.67,131.67,131.67,131.67,131.67,131.67,131.67,126.67,145,145,145,130,125,125,125,125,125,125,125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,143.33,2,125,1,125,1,156.67,2,131.67,1,131.67,1,100,2,68.33,1,68.33,1,145,2,125,1,125,1,51,61,57.6,64.6,74.2,71.4,77.1,4.6,4.6,4.7,4.2,4.3,4.2,75.4,73.7,79.6,68.4,84.4,6.8,10,76398,93284,107277,40573,33347,47627,87858,46659,38349,54771,8509358,95.2,66.3,19,0.3,6.7,0.1,2.8,4.8,9.5,3184121,256341,137506,10682,136451,563345,211811,29024,288131,45.3,42.1,48.7,16.4,13.9,19.1,19.8,13.8,26.1,8,14.8,0.8,10.5,15.4,5.3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"524",524,"Virginia","VA","Giles County",51071,2021,55.8,49.8,62.1,73.8,66,81.6,2,2.4,1.8,2.2,2.7,1.8,67.8,83,77.7,59.8,83.2,6.2,10.3,57911,65792,71713,39429,30445,46939,63123,42978,33185,51164,16764,98,95.7,1.9,0,0,0.4,0,2,1.8,6824,552,238,4,188,1170,340,19,281,26.9,17.5,37.9,20.3,16.8,24.6,16.9,9.2,26.1,13.3,24.3,0.4,22.5,32.3,11,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,60.3,56.7,64,73.9,71.2,76.7,4.8,5,4.6,4.5,4.8,4.3,75.8,72.8,80.6,66.8,84,6.9,10.2,80963,100763,109832,43963,36901,51234,88250,47920,40222,55845,8642274,90.5,60.8,18.4,0.4,6.8,0.1,4,9.5,10.2,3331461,248255,130212,10152,124205,577484,217779,29981,299900,48.3,45.2,51.7,15.4,12.8,18.2,18.3,13.1,23.9,7.5,13.6,0.9,10.6,15.4,5.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"525",525,"Virginia","VA","Giles County",51071,2022,54.5,48.8,60.5,71.3,64,78.5,2.2,2.5,1.9,2.3,2.9,1.9,65.9,82,80.3,59.2,80.1,5.6,9.7,61987,71061,71061,43909,33534,51944,61987,43909,33534,51944,16711,97.9,95,2.3,0,0.4,0.2,0,2.1,1.9,6852,572,201,5,197,1218,347,27,288,27.3,19.6,36.3,18.9,17.3,20.9,19,10,29.6,12.4,22.1,0.9,22.4,31,12.2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,172.7,172.7,172.7,159.48,141.07,141.07,129.59,129.59,129.59,129.59,130.26,130.82,130.82,130.82,123.93,99.15,99.15,96.39,96.39,96.39,96.39,109.25,175.61,175.61,175.61,166.94,149.05,149.05,143.95,143.95,143.95,143.95,137.49,199.09,199.09,199.09,166.35,170.05,170.05,162.82,162.82,162.82,162.82,150.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,172.7,1,141.07,1,129.59,1,175.61,1,149.05,1,143.95,1,130.82,1,99.15,1,96.39,1,199.09,1,170.05,1,162.82,1,51,61,57.6,64.6,75.2,72.6,77.7,3.6,3.4,3.8,3.3,3.2,3.4,76.2,74,82.5,68.3,84.5,7.4,10.6,85873,107101,107101,48178,40560,55333,85873,48178,40560,55333,8683619,90.8,60.2,18.7,0.3,7,0.1,4.5,9.2,10.4,3380607,248871,121393,10241,129878,575344,196795,32133,294895,49.1,45.8,52.7,15,12.5,17.7,18.4,13.6,23.7,7.3,13.4,0.8,10.2,14.8,5.2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
